title,phone,address
Buck Bradley's,(414) 224-8500,"1019 N Old World 3rd StMilwaukee, WI 53203"
Rodizio Grill Brazilian Steakhouse Milwaukee,(414) 431-3106,"777 N Water StMilwaukee, WI 53202"
Lisa's Pizzeria,(414) 332-6360,"2961 N Oakland AveMilwaukee, WI 53211"
La Fuente,(414) 771-9900,"9155 W Bluemound RdMilwaukee, WI 53226"
Zebb's Family Restaurant,(414) 384-6400,"2701 W Morgan AveMilwaukee, WI 53221"
Tess,(414) 964-8377,"2499 N Bartlett AveMilwaukee, WI 53211"
McCormick & Schmick's Seafood Restaurant,(414) 443-1483,"2550 N Mayfair RdMilwaukee, WI 53226"
Tenuta's Italian Restaurant,(414) 431-1014,"2995 S Clement AveMilwaukee, WI 53207"
Genesis Family Restaurant,(414) 604-9000,"3740 S 108th StMilwaukee, WI 53228"
Carini's Laconca D'oro,(414) 963-9623,"3468 N Oakland AveMilwaukee, WI 53211"
George Webb Restaurant,(414) 764-4880,"6181 S Howell AveMilwaukee, WI 53207"
J & J Fish & Chicken,(414) 358-1442,"6610 N 76th StMilwaukee, WI 53223"
Los Paisa Restaurant,(414) 540-2125,"600 W Brown Deer RdMilwaukee, WI 53217"
Mo's A Place For Steaks,(414) 272-0720,"720 N Plankinton AveMilwaukee, WI 53203"
Double B's BBQ,(414) 257-9150,"7420 W Greenfield AveMilwaukee, WI 53214"
Tres Hermanos,(414) 384-9050,"1332 W Lincoln AveMilwaukee, WI 53215"
Mazo's Fine Foods,(414) 671-2118,"3146 S 27th StMilwaukee, WI 53215"
Family Table Restaurant,(414) 354-5494,"6598 W Brown Deer RdMilwaukee, WI 53223"
Izumi's,(414) 271-5278,"2150 N Prospect AveMilwaukee, WI 53202"
Haji's Red Hot,(414) 374-4254,"2860 N Holton StMilwaukee, WI 53212"
Kiku Japanese Restaurant,(414) 270-1988,"202 W Wisconsin AveMilwaukee, WI 53203"
Panda Hut Chinese Restaurant,(414) 774-1689,"7136 W Greenfield AveMilwaukee, WI 53214"
Braise,(414) 212-8843,"1101 S 2nd StMilwaukee, WI 53204"
China I,(414) 354-8888,"6574 W Brown Deer RdMilwaukee, WI 53223"
Athens Family Restaurant,(414) 462-3950,"5547 N Lovers Lane RdMilwaukee, WI 53225"
Harbor House,(414) 395-4900,"550 N Harbor DrMilwaukee, WI 53202"
Bar Louie,(414) 488-1700,"5750 N Bayshore DrMilwaukee, WI 53217"
Xee Yoo,(414) 355-9812,"8614 N 107th StMilwaukee, WI 53224"
Ward's House of Prime,(414) 223-0135,"540 E Mason StMilwaukee, WI 53202"
Cosi,(414) 228-6930,"8775 N Port Washington RdMilwaukee, WI 53217"
Thai Barbeque Restaurant,(414) 647-0812,"3417 W National AveMilwaukee, WI 53215"
INdustri Cafe,(414) 224-7777,"524 S 2nd StMilwaukee, WI 53204"
China Hut,(414) 329-8288,"5114 W Howard AveMilwaukee, WI 53220"
Maharaja,(414) 276-2250,"1550 N Farwell AveMilwaukee, WI 53202"
Bakers Square,(414) 546-1220,"10200 W National AveMilwaukee, WI 53227"
Calderone Club,(414) 352-9303,"8001 N Port Washington RdMilwaukee, WI 53217"
Sanford Restaurant,(414) 276-9608,"1547 N Jackson StMilwaukee, WI 53202"
Café Benelux,(414) 501-2500,"346 N BroadwayMilwaukee, WI 53202"
Crabby's Bar & Grill,(414) 769-9999,"2113 E Oklahoma AveMilwaukee, WI 53207"
Karma Bar & Grill,(414) 220-4118,"600 E Ogden AveMilwaukee, WI 53202"
Bollywood Grill,(414) 271-8200,"1038 N Jackson StMilwaukee, WI 53202"
Vietnamese Noodles,(414) 763-0551,"3881 S 27th StMilwaukee, WI 53221"
Carnevor Steakhouse,(414) 223-2200,"724 N Milwaukee StMilwaukee, WI 53202"
Louie's Char Dogs & Butter Burgers,(414) 212-8761,"2336 N Farwell AveMilwaukee, WI 53211"
Golden Corral Restaurants,(414) 482-7500,"300 W Layton AveMilwaukee, WI 53207"
Red Lobster,(414) 771-6320,"2801 N Mayfair RdMilwaukee, WI 53222"
Five O'Clock Club,(414) 342-3553,"2416 W State StMilwaukee, WI 53233"
Peking Garden,(414) 604-8888,"7625 W Beloit RdMilwaukee, WI 53219"
The Pfister Hotel,(414) 273-8222,"424 E Wisconsin AveMilwaukee, WI 53202"
Hue,(414) 294-0483,"2691 S Kinnickinnic AveMilwaukee, WI 53207"
East Garden Chinese Restaurant,(414) 962-7460,"3600 N Oakland AveMilwaukee, WI 53211"
Phan's Garden Restaurant,(414) 384-4522,"1923 W National AveMilwaukee, WI 53204"
Casablanca,(414) 271-6000,"728 E Brady StMilwaukee, WI 53202"
New China Buffet,(414) 281-2200,"3734 S 27th StMilwaukee, WI 53221"
Buddha Lounge,(414) 283-8400,"1504 E North AveMilwaukee, WI 53202"
King & I Thai Restaurant,(414) 276-4181,"830 N Old World 3rd StMilwaukee, WI 53203"
Wings Over Milwaukee,(414) 278-9464,"1434 E Brady StMilwaukee, WI 53202"
The Chocolate Factory,(414) 272-0400,"275 W Wisconsin AveMilwaukee, WI 53203"
Twisted Fisherman Crab Shack,(414) 384-2722,"1200 W Canal StMilwaukee, WI 53233"
House of Corned Beef,(414) 273-6000,"1952 N Farwell AveMilwaukee, WI 53202"
Stone Bowl Grill,(414) 220-9111,"1958 N Farwell AveMilwaukee, WI 53202"
Bull Shooters Saloon,(414) 475-5828,"604 S 64th StMilwaukee, WI 53214"
Ho Ho's Chinese Restaurant,(414) 747-0222,"3956 S Howell AveMilwaukee, WI 53207"
The Cheesecake Factory,(414) 247-0823,"4810 N Port Washington RdMilwaukee, WI 53217"
Lee Kong,(414) 964-3888,"5312 N Port Washington RdMilwaukee, WI 53217"
Bavarian Bierhaus,(414) 236-7000,"700 W Lexington BlvdMilwaukee, WI 53217"
Koi Japanese Cuisine,(414) 481-2288,"552 W Layton AveMilwaukee, WI 53207"
Brewtown Eatery Bar & Grill,(414) 321-3900,"5121 W Howard AveMilwaukee, WI 53220"
Pho Cali,(414) 282-9950,"4756 S 27th StMilwaukee, WI 53221"
Stella J's,(414) 393-2045,"7434 W Capitol DrMilwaukee, WI 53216"
Jo's Cafe,(414) 461-0210,"3519 W Silver Spring DrMilwaukee, WI 53209"
Landmark 1850 Inn,(414) 769-1850,"5905 S Howell AveMilwaukee, WI 53207"
Little Tokyo,(414) 302-6666,"2500 N Mayfair RdMilwaukee, WI 53226"
Singha Thai Restaurant,(414) 541-1234,"2237 S 108th StMilwaukee, WI 53227"
China House,(414) 282-6666,"6217 S 27th StMilwaukee, WI 53221"
Thai Bangkok,(414) 362-0189,"9112 W Brown Deer RdMilwaukee, WI 53224"
Lulu Café and Cocktails,(414) 294-5858,"2265 S Howell AveMilwaukee, WI 53207"
No 1 Chinese Restaurant,(414) 482-2218,"2678 S Kinnickinnic AveMilwaukee, WI 53207"
4th Base Restaurant,(414) 647-8509,"5117 W National AveMilwaukee, WI 53214"
Nana Asian Fusion and Sushi Bar,(414) 967-8888,"4511 N Oakland AveMilwaukee, WI 53211"
TGI Fridays,(414) 281-7896,"4638 S 76th StMilwaukee, WI 53220"
Wongs Wok,(414) 393-1530,"7424 W Appleton AveMilwaukee, WI 53216"
Chubby's Cheesesteaks,(414) 672-1111,"2147 Miller Park WayMilwaukee, WI 53219"
Pho Viet,(414) 282-8852,"5475 S 27th StMilwaukee, WI 53221"
Wing Ho Restaurant,(414) 321-1199,"3161 S 92nd StMilwaukee, WI 53227"
Japanica,(414) 281-9868,"4918 S 74th StMilwaukee, WI 53220"
Kawa Ramen & Sushi,(414) 800-7979,"2321 N Murray AveMilwaukee, WI 53211"
Spitfires on State,(414) 777-5060,"5018 W State StMilwaukee, WI 53208"
Historic Turner Restaurant,(414) 276-4844,"1034 N Vel R Phillips AveMilwaukee, WI 53203"
Smoke Shack,(414) 431-1119,"11340 W Burleigh StMilwaukee, WI 53222"
Botanas II Restaurant,(414) 489-0529,"1421 E Howard AveMilwaukee, WI 53207"
Cabana Grill Pakistan Indian,(414) 744-9000,"869 W Layton AveMilwaukee, WI 53221"
Number One Chinese,(414) 329-7777,"7536 W Oklahoma AveMilwaukee, WI 53219"
No 1 Chinese,(414) 535-8888,"7512 W Appleton AveMilwaukee, WI 53216"
Blue Bat Kitchen & Tequilaria,(414) 431-1133,"249 N Water StMilwaukee, WI 53202"
Milwaukee ChopHouse,(414) 226-2467,"633 S 5th StMilwaukee, WI 53203"
Brunch,(414) 210-5381,"714 N Milwaukee StMilwaukee, WI 53202"
Cafe at the Pfister,(414) 273-8222,"424 E Wisconsin AveMilwaukee, WI 53202"
Carnevor,(414) 223-2200,"718 N Milwaukee StMilwaukee, WI 53202"
The Social American Tavern,(414) 271-6611,"611 N BroadwayMilwaukee, WI 53202"
SportClub,(414) 808-1588,"750 N Jefferson StMilwaukee, WI 53202"
Tupelo Honey Southern Kitchen & Bar,(414) 207-4604,"511 N BroadwayMilwaukee, WI 53202"
Stella Van Buren,(414) 847-5622,"550 N Van Buren StMilwaukee, WI 53202"
St Paul Seafood,(414) 220-8383,"400 N Water StMilwaukee, WI 53202"
Proof Pizza,(414) 270-4433,"139 E Kilbourn AveMilwaukee, WI 53202"
Giggly at Saint Kate,(414) 270-4424,"139 E Kilbourn AveMilwaukee, WI 53202"
The Bar at Saint Kate,(414) 291-4797,"139 E Kilbourn AveMilwaukee, WI 53202"
ARIA – The Restaurant at Saint Kate,(414) 270-4422,"139 E Kilbourn AveMilwaukee, WI 53202"
Rare Steakhouse,(414) 273-7273,"833 E Michigan StMilwaukee, WI 53202"
Buckley's Restaurant & Bar,(414) 277-1111,"801 N Cass StMilwaukee, WI 53202"
Smoke Shack,(414) 431-1119,"332 N Milwaukee StMilwaukee, WI 53202"
The Edison,(414) 269-6306,"322 N BroadwayMilwaukee, WI 53202"
Onesto,(414) 308-1600,"221 N BroadwayMilwaukee, WI 53202"
Tre Rivali,(414) 291-3971,"200 N BroadwayMilwaukee, WI 53202"
Smoke Shack,(414) 431-1119,"332 N Harbor DrMilwaukee, WI 53202"
Sweet Diner,(414) 488-9600,"239 E Chicago StMilwaukee, WI 53202"
DOC'S Commerce Smokehouse,(414) 935-2029,"754 N Vel R Phillips AveMilwaukee, WI 53203"
Lowcountry Milwaukee,(414) 252-0015,"1114 N Water StMilwaukee, WI 53202"
Tutto Restaurant,(414) 800-6240,"1033 N Old World 3rd StMilwaukee, WI 53203"
Char'd,(414) 885-2611,"222 E Erie St Ste 100Milwaukee, WI 53202"
Milwaukee ChopHouse,(414) 226-2467,"633 N 5th StMilwaukee, WI 53203"
Tavern at Turner Hall,(414) 346-0800,"1034 N Vel R Phillips AveMilwaukee, WI 53203"
Punch Bowl Social Milwaukee,(414) 204-7544,"1122 N Vel R Phillips AveMilwaukee, WI 53203"
The Knick,(414) 272-0011,"1030 E Juneau AveMilwaukee, WI 53202"
Cavas,(414) 930-9088,"401 E Erie StMilwaukee, WI 53202"
Merriment Social,(414) 645-0240,"240 E Pittsburgh AveMilwaukee, WI 53204"
Build-a-Breakfast/Build-a-Burger,(414) 270-1070,"633 W Wisconsin AveMilwaukee, WI 53203"
Motor Bar & Restaurant,(414) 287-2778,"401 W Canal StMilwaukee, WI 53203"
Black Sheep,(414) 223-0903,"216 S 2nd StMilwaukee, WI 53204"
Bowls,(414) 800-5667,"207 W Freshwater WayMilwaukee, WI 53204"
Birch + Butcher,(414) 323-7372,"459 E Pleasant StMilwaukee, WI 53202"
ASH Milwaukee,(414) 831-4677,"500 W Florida St  The Iron Horse HotelMilwaukee, WI 53204"
DiModa Pizza,(414) 331-0020,"1758 N Water StMilwaukee, WI 53202"
Dorsia,(414) 539-6826,"1307 E Brady StMilwaukee, WI 53202"
Easy Tyger,(414) 226-6640,"1230 E Brady StMilwaukee, WI 53202"
Fuel Cafe 5th St.,(414) 847-9580,"630 S 5th StMilwaukee, WI 53204"
Meraki,(414) 897-7230,"939 S 2nd StMilwaukee, WI 53204"
El Comedor,(414) 534-0651,"1039 W National AveMilwaukee, WI 53204"
Dream Dance Steak,(414) 847-7883,"1721 W Canal StMilwaukee, WI 53233"
Rice N Roll Bistro,(414) 220-9944,"1952 N Farwell AveMilwaukee, WI 53202"
Tavolino,(414) 797-1400,"2315 N Murray AveMilwaukee, WI 53211"
Pizza Hut,(414) 278-0007,"2340 N Farwell AveMilwaukee, WI 53211"
Cheba Hut,(414) 455-8563,"2907 N Oakland AveMilwaukee, WI 53211"
Good Land Wing Co.,(414) 367-9886,"2911 N Oakland AveMilwaukee, WI 53211"
Pizzeria 3301,(414) 455-0347,"3301 W Canal StMilwaukee, WI 53208"
Noodles & Company,(414) 962-9100,"3121 N Oakland AveMilwaukee, WI 53211"
Noodles & Company,(414) 962-9100,"3121 N Oakland AveMilwaukee, WI 53211"
Bamboo Restaurant,(414) 316-9023,"3427 W National AveMilwaukee, WI 53215"
Orenda Cafe,(414) 212-8573,"3514 W National AveMilwaukee, WI 53215"
Goodkind,(414) 763-4706,"2457 S Wentworth AveMilwaukee, WI 53207"
Noodles & Company,(414) 962-9100,"3121 North Oakland Ave At KenwoodMilwaukee, WI 53211"
Restaurant to Be Named Later,(414) 902-4201,"1 Brewers WayMilwaukee, WI 53214"
Noodles & Company,(414) 383-0400,"2725 W. Oklahoma Ave At 28thMilwaukee, WI 53215"
Noodles & Company,(414) 509-5192,"1310 Miller Park WayMilwaukee, WI 53214"
Mad Rooster Cafe,(414) 231-9120,"4401 W Greenfield AveMilwaukee, WI 53214"
Tricklebee Cafe,(414) 488-2477,"4424 W North AveMilwaukee, WI 53208"
South Shore Terrace,(414) 482-4270,"2900 S Shore DrMilwaukee, WI 53207"
Story Hill BKC,(414) 539-4424,"5100 W Blue Mound RdMilwaukee, WI 53208"
Fat Valdis Restaurant,(414) 443-0287,"5108 W Blue Mound RdMilwaukee, WI 53208"
National Pizza Pub and Grille,(414) 671-4224,"5501 W National AveMilwaukee, WI 53214"
Noodles & Company,(414) 383-0400,"2725 W Oklahoma AveMilwaukee, WI 53215"
Balistreri's Bluemound Inn,(414) 348-5183,"6501 W Bluemound RdMilwaukee, WI 53213"
Anchorage Restaurant,(414) 962-4710,"4700 N Port Washington RdMilwaukee, WI 53212"
Red Snapper Fish Company,(414) 442-4774,"6016 W Lisbon AveMilwaukee, WI 53210"
C & C S 27th St Wongs Wok,(414) 281-0801,"3702 S 27th StMilwaukee, WI 53221"
Hot Dish Pantry,(414) 231-3305,"4125 S Howell AveMilwaukee, WI 53207"
Jack Pandl's Whitefish Bay Inn,(414) 964-3800,"1319 E Henry Clay StMilwaukee, WI 53217"
Bougie Berries,(414) 585-0234,"7157 W Burleigh StMilwaukee, WI 53210"
J. Leinenkugel's Barrel Yard,(414) 902-4201,"1 Brewers Way  Left OutfieldMilwaukee, WI 53214"
Trouble Pizzeria,(414) 800-5015,"133 E Silver Spring DrMilwaukee, WI 53217"
The Bay,(414) 455-3045,"342 E Silver Spring DrMilwaukee, WI 53217"
Kim's Thai Restaurant,(414) 282-8687,"938 W Layton AveMilwaukee, WI 53221"
Devon Seafood Grill,(414) 967-9790,"5715 N Bayshore DrMilwaukee, WI 53217"
Mexican Village Restaurant,(414) 897-8008,"3161 S 92nd StMilwaukee, WI 53227"
Fusion Cafe,(414) 257-1199,"1427 S 108th StMilwaukee, WI 53214"
Jimmy's Island Grill & Iguana Bar,(414) 837-2121,"2303 N Mayfair RdMilwaukee, WI 53226"
Ginza Japanese Restaurant,(414) 771-3333,"2727 N Mayfair RdMilwaukee, WI 53222"
Altitude Restaurant,(414) 563-4065,"6401 S 13th StMilwaukee, WI 53221"
Open Flame,(414) 425-5177,"5081 S 108th StMilwaukee, WI 53228"
Noodles & Company,(414) 540-6601,"8781 N Port Washington RdMilwaukee, WI 53217"
Ginza Japanese Restaurant,(414) 540-9669,"333 W Brown Deer RdMilwaukee, WI 53217"
East Town Restaurant,(414) 847-6192,"323 E Wisconsin AveMilwaukee, WI 53202"
Freshii,(414) 921-0819,"250 E Wisconsin AveMilwaukee, WI 53202"
Artisan Ramen,(414) 210-3023,"530 E Mason StMilwaukee, WI 53202"
Tua Pasta,(414) 988-4016,"100 E Wisconsin AveMilwaukee, WI 53202"
Louise's Restaurant,(414) 273-4224,"801 N Jefferson StMilwaukee, WI 53202"
Mo's A Place for Steaks,(414) 272-0720,"720 N Plankinton AveMilwaukee, WI 53203"
Foltz Family Market,(414) 277-5070,"400 N Water StMilwaukee, WI 53202"
On The Bus,(414) 204-8585,"400 N Water StMilwaukee, WI 53202"
Pat's Rib Place,(262) 544-4099,"400 N Water StMilwaukee, WI 53202"
Pier 106 Seafood Tavern,(414) 273-7678,"106 W Wells StMilwaukee, WI 53203"
Agave Southwest Bar & Grill,(414) 249-5973,"800 N Plankinton AveMilwaukee, WI 53203"
Villa Pizza,(414) 224-6410,"275 W Wisconsin AveMilwaukee, WI 53203"
Tomato Destination,(414) 291-4017,"275 W Wisconsin AveMilwaukee, WI 53203"
Doc-3602 Kyoto Garden Drive Mob,(414) 276-1233,"309 N Water StMilwaukee, WI 53202"
Aloha Poke,(414) 585-0000,"220 E Buffalo StMilwaukee, WI 53202"
San Giorgio Pizzeria Napoletana,(414) 276-2876,"838 N Dr Martin Luther King Jr DrMilwaukee, WI 53203"
Bistro,(414) 291-4122,"300 W Michigan StMilwaukee, WI 53203"
Lucky Ginger,(414) 269-8829,"221 N Water StMilwaukee, WI 53202"
Cream City Cluckery,(414) 422-6992,"400 W Highland AveMilwaukee, WI 53203"
Aperitivo,(414) 276-4400,"311 N Plankinton AveMilwaukee, WI 53203"
Tsaocaa,(414) 539-3117,"2224 N Farwell Ave   Milwaukee   WiMilwaukee, WI 53202"
Bootleggers of Milwaukee,(414) 347-2337,"1023 N Dr Martin Luther King Jr DrMilwaukee, WI 53203"
Oak Barrel Public House,(414) 897-8320,"1033 N Dr Martin Luther King Jr DrMilwaukee, WI 53203"
Cantina,(414) 897-8137,"1110 N Old World 3rd StMilwaukee, WI 53203"
Cafe Espresso,(414) 271-7250,"509 W Wisconsin AveMilwaukee, WI 53203"
Seven at the Astor,(414) 278-8660,"924 E Juneau AveMilwaukee, WI 53202"
Carson's Restaurant,(414) 988-8204,"1141 N Old World 3rd StMilwaukee, WI 53203"
DanDan,(414) 488-8036,"117 N Jefferson StMilwaukee, WI 53202"
Colectivo Coffee,(414) 765-9873,"170 S 1st StMilwaukee, WI 53204"
Toast,(414) 539-4179,"231 S 2nd StMilwaukee, WI 53204"
Boo-Boo's Sandwiches,(414) 885-1532,"405 S 2nd StMilwaukee, WI 53204"
Morel Restaurant,(414) 897-0747,"430 S 2nd StMilwaukee, WI 53204"
Camino,(414) 800-5641,"434 S 2nd StMilwaukee, WI 53204"
Brown Bottle,(414) 539-6450,"221 W Galena StMilwaukee, WI 53212"
Greige Patisserie,(414) 252-0143,"408 W Florida StMilwaukee, WI 53204"
BJC Asian Cuisine,(414) 226-1000,"1125 N 9th StMilwaukee, WI 53233"
Ashley's Que,(414) 276-7666,"1125 N 9th StMilwaukee, WI 53233"
Lucky Liu's,(414) 223-1699,"1664 N Van Buren StMilwaukee, WI 53202"
Smyth,(713) 333-9944,"500 W Florida StMilwaukee, WI 53204"
Uncle Wolfie's Breakfast Tavern,(414) 763-3021,"234 E Vine StMilwaukee, WI 53212"
The Noble,(414) 243-4997,"704 S 2nd StMilwaukee, WI 53204"
Ijt Restaurants Inc,(414) 231-9751,"700 W Virginia StMilwaukee, WI 53204"
Drink Wisconsinbly Pub,(414) 930-0929,"135 E National AveMilwaukee, WI 53204"
Allie Boy's Bagelry & Luncheonette,(414) 988-0388,"135 E National AveMilwaukee, WI 53204"
Mai Thai,(414) 810-0535,"1230 E Brady StMilwaukee, WI 53202"
Park Zocalo Food,(414) 455-8572,"636 S 6th StMilwaukee, WI 53204"
Pasion Bar,(414) 226-6905,"625 S 6th StMilwaukee, WI 53204"
Red Snapper Fish Co,(414) 442-4774,"600 W Walnut StMilwaukee, WI 53212"
Tangled,(414) 210-4294,"1404 W Wells StMilwaukee, WI 53233"
Hamburger Mary's Milwaukee,(414) 488-2555,"730 S 5th StMilwaukee, WI 53204"
Fuji Poke Brady,(414) 509-1777,"1426 E Brady StMilwaukee, WI 53202"
Odd Duck,(414) 763-5881,"939 S 2nd StMilwaukee, WI 53204"
Ardent Milwaukee,(414) 897-7022,"1751 N Farwell AveMilwaukee, WI 53202"
Pitch's Express,(414) 224-5252,"1750 N Lincoln Memorial DrMilwaukee, WI 53202"
EE-Sane Thai Cuisine,(414) 224-8284,"1806 N Farwell AveMilwaukee, WI 53202"
Maki Yaki Japanese Grill,(414) 909-3999,"1616 W Wisconsin AveMilwaukee, WI 53233"
Pho 43,(414) 585-0303,"1814 N Farwell AveMilwaukee, WI 53202"
Pizza Shuttle,(414) 289-9993,"1827 N Farwell AveMilwaukee, WI 53202"
Circa 1880 Restaurant,(414) 431-9271,"1100 S 1st St Apt 1Milwaukee, WI 53204"
Mizu,(414) 220-9098,"1828 N Farwell AveMilwaukee, WI 53202"
RuYi,(414) 847-7335,"1721 W Canal StMilwaukee, WI 53233"
Supper,(414) 509-6074,"1962 N Prospect AveMilwaukee, WI 53202"
New York Pizza Delivery,(414) 562-4444,"231 E North AveMilwaukee, WI 53212"
Momo Mee,(414) 316-9003,"110 E Greenfield AveMilwaukee, WI 53204"
The Original Sobelmans on St. Paul,(414) 931-1919,"1900 W Saint Paul AveMilwaukee, WI 53233"
Hong Kong Express,(414) 264-7252,"2373 N Dr Martin Luther King Jr DrMilwaukee, WI 53212"
Egg & Flour,(414) 885-0204,"2238 N Farwell AveMilwaukee, WI 53202"
Wing Street,(414) 278-0007,"2340 N Farwell AveMilwaukee, WI 53211"
A A Wok Zone Chinese Restaurant,(414) 220-4660,"2342 N Farwell AveMilwaukee, WI 53211"
China Wok,(414) 347-9922,"2342 N Farwell AveMilwaukee, WI 53211"
La Carreta Vieja,(414) 645-0858,"1339 W Greenfield AveMilwaukee, WI 53204"
Kwik Wok,(414) 481-2501,"604 W Historic Mitchell StMilwaukee, WI 53204"
J & J Fish & Chicken,(414) 269-9007,"405 W Center StMilwaukee, WI 53212"
Tacos gemelos restaurant,(414) 210-5560,"1116 W Historic Mitchell StMilwaukee, WI 53204"
South Milwaukee House,(414) 856-9371,"1815 S 10th StMilwaukee, WI 53204"
Santino's Little Italy,(414) 897-7367,"352 E Stewart StMilwaukee, WI 53207"
Wing Street,(414) 643-6200,"1840 S 15th StMilwaukee, WI 53204"
Fast Break,(414) 935-2335,"551 W Becher StMilwaukee, WI 53207"
The Original Pancake House,(414) 431-5055,"2625 N Downer AveMilwaukee, WI 53211"
Dino's Lounge & Restaurant,(414) 263-6033,"808 E Chambers StMilwaukee, WI 53212"
Solo Wood Fired Pizza,(414) 964-2850,"2856 N Oakland AveMilwaukee, WI 53211"
Juniper61,(414) 727-6161,"2265 S Howell AveMilwaukee, WI 53207"
Xel-Ha restaurant,(414) 294-4848,"2321 S Kinnickinnic AveMilwaukee, WI 53207"
Lazy Susan,(414) 988-7086,"2378 S Howell AveMilwaukee, WI 53207"
Luby's,(414) 343-4680,"3700 W Juneau AveMilwaukee, WI 53208"
Vientiane Noodle Shop,(414) 672-8440,"3422 W National AveMilwaukee, WI 53215"
UWM Restaurant Operations,(414) 229-4146,"2200 E Kenwood BlvdMilwaukee, WI 53211"
Sorella,(414) 301-6255,"2535 S Kinnickinnic Ave  Kinn GuesthouseMilwaukee, WI 53207"
Rom's Silver C Silver City Sports,(414) 810-0461,"3530 W National AveMilwaukee, WI 53215"
Big Sharks Fish & Chicken,(414) 881-7777,"3434 W North AveMilwaukee, WI 53208"
Honeypie,(414) 489-7437,"2643 S Kinnickinnic AveMilwaukee, WI 53207"
Hungry Sumo,(414) 595-9656,"2663 S Kinnickinnic AveMilwaukee, WI 53207"
